kingdom,phylum,class,order,family,genus,species,commonname
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,rapax,Tawny eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur,indicus,Grey-faced buzzard
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,rufinus,Long-legged buzzard
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,cinereus,Brown snake eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,gallicus,Short-toed eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Swamp harrier
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,macrourus,Pallid harrier
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-winged kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypohierax,angolensis,Palm-nut vulture
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,bengalensis,Bengal vulture
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,Eurasian griffon
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,harpyja,Harpy eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpyopsis,novaeguineae,New Guinea eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,morphnoides,Little eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Kaupifalco,monogrammicus,Lizard buzzard
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,isura,Square-tailed kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,Western honey-buzzard
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Terathopius,ecaudatus,Bateleur
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture
Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,galericulata,Mandarin duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,American wigeon
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,bahamensis,White-cheeked pintail
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,querquedula,Garganey
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall
